epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,399.602,1.22825,0.77012,1.32782,0.90593,0.86132,0.91196,0.47056,1.92538,0.99413,1.91648,0.00060753,0.00060753,0.00060753
69,405.441,1.22277,0.76134,1.35192,0.88141,0.95238,0.94678,0.46353,1.89564,0.88691,1.97636,0.000603031,0.000603031,0.000603031
70,410.849,1.21021,0.74677,1.31492,0.8152,0.89081,0.89754,0.44047,1.95312,1.03065,2.0333,0.000598531,0.000598531,0.000598531
71,417.112,1.22149,0.77017,1.3254,0.90461,0.87799,0.9225,0.45641,1.8563,1.01305,2.0152,0.000594031,0.000594031,0.000594031
72,422.505,1.20997,0.77897,1.31278,0.94941,0.86561,0.91441,0.47642,1.91679,0.99042,2.05013,0.000589532,0.000589532,0.000589532
73,428.841,1.20663,0.75976,1.29945,0.83256,0.89564,0.89591,0.47002,1.87025,0.96705,1.94755,0.000585032,0.000585032,0.000585032
74,434.328,1.14358,0.78165,1.2766,0.86025,0.90476,0.88836,0.46571,1.94597,0.99246,1.99012,0.000580533,0.000580533,0.000580533
75,440.656,1.17386,0.75824,1.28403,0.78299,0.84445,0.84602,0.4287,1.8894,1.10395,2.0053,0.000576033,0.000576033,0.000576033
76,446.109,1.15673,0.73488,1.28945,0.83911,0.8101,0.83986,0.45354,1.89848,1.20188,1.994,0.000571534,0.000571534,0.000571534
77,451.986,1.12722,0.73101,1.24247,0.8428,0.83173,0.85869,0.46263,1.90539,1.03652,1.95394,0.000567034,0.000567034,0.000567034
78,458.004,1.11297,0.70635,1.25821,0.82831,0.865,0.90368,0.45495,1.8995,1.00518,1.981,0.000562535,0.000562535,0.000562535
79,463.584,1.16071,0.76342,1.28802,0.81146,0.85902,0.89608,0.4503,1.86168,0.93845,2.04537,0.000558035,0.000558035,0.000558035
80,469.763,1.14571,0.73833,1.2726,0.85261,0.92072,0.92177,0.45873,1.89171,0.95655,2.00876,0.000553536,0.000553536,0.000553536
81,475.219,1.09091,0.67779,1.22796,0.83044,0.84517,0.87818,0.39272,2.04691,1.08494,2.13087,0.000549036,0.000549036,0.000549036
82,481.517,1.14097,0.72749,1.2712,0.86874,0.82062,0.8554,0.39384,2.04408,1.01167,2.15588,0.000544536,0.000544536,0.000544536
83,486.988,1.16105,0.73682,1.29604,0.81331,0.84307,0.8691,0.42516,1.99819,1.03452,2.1583,0.000540037,0.000540037,0.000540037
84,493.319,1.16643,0.71383,1.27756,0.85033,0.84083,0.84698,0.43919,1.95036,1.10513,2.09298,0.000535537,0.000535537,0.000535537
